root_url,wget_url,target_ip,wget_url_size(KB),rtt(ms),bandwidth(Kbps)
https://bato.to,https://bato.to/amsta/build/jss-btoto_v22.js%3F3efb172cf248b4560bf64b3792d513fa,94.102.49.153,132,80,4312
https://workspace.google.com,https://workspace.google.com,172.253.63.139,286,1,92800
https://pt.m.wikipedia.org,https://pt.m.wikipedia.org,208.80.154.224,201,1,295200
https://www.universal-credit.service.gov.uk,https://www.universal-credit.service.gov.uk/scripts/claimant.8bbe36df5ac813c9f2a1.js,184.28.198.145,445,75,10000
https://www.cmoa.jp,https://www.cmoa.jp,211.1.239.141,393,170,1704
https://lotterysambadresult.in,https://lotterysambadresult.in/wp-content/uploads/2024/08/ed02-740x1024.jpg,172.67.198.202,246,1,10960
https://hochi.news,https://hochi.news,13.32.151.35,168,0,4752
https://kunmanga.com,https://kunmanga.com,104.26.10.145,141,0,8960
https://www.chordtela.com,https://www.chordtela.com/chord-gitar-a-b,104.26.2.102,217,0,159200
https://olimpbet.kz,https://olimpbet.kz,185.176.26.253,147,1,13280
https://xxxvideo.link,https://xxxvideo.link/en/most_viewed/,109.206.176.68,112,87,5552
https://www.superporn.com,https://www.superporn.com/build/js/global-45d9084c77.js,104.21.233.170,363,0,555200
https://hdhub4u.contact,https://hdhub4u.contact,104.21.95.208,264,1,100000
https://www.lxtgame.com,https://www.lxtgame.com,18.165.98.2,525,1,22800
https://www.olx.pl,https://www.olx.pl,52.85.132.50,153,0,559200
https://portal.auone.jp,https://portal.auone.jp/resources/c6df92e36/legacy/js/pc.js,23.53.35.135,276,0,277600
https://www.aliexpress.us,https://www.aliexpress.us,23.9.171.48,541,1,80800
https://edu.google.com,https://edu.google.com,142.251.179.100,337,1,133600
https://cardgames.io,https://cardgames.io/canasta/1.15.3/canasta.min.js,3.167.88.67,521,1,15840
https://manhuatop.org,https://manhuatop.org,104.26.9.74,155,1,10160
https://id.m.wikipedia.org,https://id.m.wikipedia.org,208.80.154.224,189,1,202400
https://race.sp.netkeiba.com,https://race.sp.netkeiba.com,23.48.203.112,898,0,623200
https://synergia.librus.pl,https://synergia.librus.pl/regulamin,46.248.183.42,497,117,8160
https://www.clip2vip.com,https://www.clip2vip.com,104.21.233.173,95,1,45520
https://yako.net,https://yako.net,104.17.39.51,196,1,213600
https://www.betika.com,https://www.betika.com/en-ke/static/js/hls.js,162.159.129.86,226,0,242400
https://funpay.com,https://funpay.com,172.67.69.234,354,1,5912
https://www.xnxx-arabic.com,https://www.xnxx-arabic.com,172.64.147.231,116,0,7584
https://xn--l3cg7a8a0cwa3f.com,https://xn--l3cg7a8a0cwa3f.com,172.67.69.195,115,1,14320
https://alarbda.com,https://alarbda.com,104.26.1.55,300,1,273600
https://discord.com,https://discord.com,162.159.137.232,114,0,360000
https://ndtv.in,https://ndtv.in,23.202.153.123,1380,1,113600
https://sp.jra.jp,https://sp.jra.jp/_top/main_visual/img/2024_0728-0804.jpg,23.48.203.113,199,0,3096
https://www.kamababa.desi,https://www.kamababa.desi,172.67.70.253,154,1,10560
https://ar.m.wikipedia.org,https://ar.m.wikipedia.org,208.80.154.224,165,1,284800
https://pomorska.pl,https://pomorska.pl,104.18.31.76,660,0,49120
https://www.cnbcindonesia.com,https://www.cnbcindonesia.com,104.18.30.159,186,0,120000
https://fr.m.wikipedia.org,https://fr.m.wikipedia.org,208.80.154.224,196,1,278400
https://www.yahoo.co.jp,https://www.yahoo.co.jp,182.22.28.252,153,169,2520
https://www.abplive.com,https://www.abplive.com,23.45.181.208,863,0,161600
https://www.toppr.com,https://www.toppr.com/ask/_next/static/chunks/622-a98911ce6e5b409f.js,34.107.246.5,189,0,2056
https://auctions.yahoo.co.jp,https://auctions.yahoo.co.jp,183.79.219.124,119,173,1824
https://anoboy.foundation,https://anoboy.foundation/anime-list/,104.21.70.107,556,1,4664
https://france3-regions.francetvinfo.fr,https://france3-regions.francetvinfo.fr,23.48.203.203,630,0,55040
https://www.joyclub.de,https://www.joyclub.de/dates_partys/events/,104.18.39.2,117,1,437600
https://www.bikewale.com,https://www.bikewale.com,3.162.103.32,535,1,512000
https://mangatoto.com,https://mangatoto.com/amsta/build/jss-btoto_v22.js%3F3efb172cf248b4560bf64b3792d513fa,172.67.189.131,132,0,11840
https://www.bol.com,https://www.bol.com,34.36.121.47,396,1,16880
https://litnet.com,https://litnet.com,104.18.17.118,355,2,10640
https://ua.sinoptik.ua,https://ua.sinoptik.ua/%D1%81%D1%88%D0%B0/%D0%90,212.42.73.103,156,86,3600
https://aniwatchtv.to,https://aniwatchtv.to/images/anw-min.webp,104.21.56.54,171,1,273600
https://www.mydesi2.net,https://www.mydesi2.net/wp-json/,104.26.2.247,203,1,577600
https://www2.hm.com,https://www2.hm.com,23.202.152.100,723,1,564800
https://www.mercadolivre.com.br,https://www.mercadolivre.com.br,3.33.182.45,270,1,72080
https://m.ok.ru,https://m.ok.ru/mres/batch/js/reactf8934381/vendors.js,217.20.152.234,207,124,2592
https://www.1024tera.com,https://www.1024tera.com/ndbs/nd_bundle_430546.js,210.148.85.59,275,165,3104
https://wol.jw.org,https://wol.jw.org,23.213.84.140,151,1,12720
https://www.google.com,https://www.google.com,142.251.167.104,269,1,277600
https://m.magazineluiza.com.br,https://m.magazineluiza.com.br,206.41.74.4,292,6,107200
https://bollyflix.wales,https://bollyflix.wales,104.21.2.69,101,0,36320
https://www.flashscore.com.br,https://www.flashscore.com.br,35.190.63.169,136,0,217600
https://www.rat.xxx,https://www.rat.xxx,104.21.15.118,273,1,104000
https://mto.to,https://mto.to/amsta/build/jss-btoto_v22.js%3F3efb172cf248b4560bf64b3792d513fa,104.26.10.235,132,0,11920
https://tuoitre.vn,https://tuoitre.vn,14.225.199.147,491,262,2888
https://pantip.com,https://pantip.com,15.235.165.183,151,230,2632
https://sexalarbda.com,https://sexalarbda.com,104.21.58.116,272,1,472800
https://xnxx.health,https://xnxx.health,104.26.5.154,138,1,303200
https://ge.globo.com,https://ge.globo.com,35.227.102.207,1065,11,128800
https://xnxx.com.se,https://xnxx.com.se,172.67.210.85,109,1,10160
https://m.gsmarena.com,https://m.gsmarena.com/deals.php3,148.251.96.211,131,100,3504
https://accounts.google.com,https://accounts.google.com,142.251.111.84,671,1,94400
https://www.nesine.com,https://www.nesine.com,217.74.24.155,657,137,3424
https://jut.su,https://jut.su/by-episodes/,172.67.72.179,420,0,18240
https://pl.escort.club,https://pl.escort.club,104.21.87.190,458,1,17440
https://www.cronista.com,https://www.cronista.com,119.8.79.14,455,146,4800
https://harimanga.com,https://harimanga.com,104.26.14.114,142,1,8560
https://grapee.jp,https://grapee.jp/wp-content/uploads/2024/08/105541_main04-768x576.jpg,27.133.137.39,108,193,2232
https://arca.live,https://arca.live,104.18.17.140,125,1,5584
https://www.pornid.name,https://www.pornid.name,213.174.152.200,303,0,200000
https://news.yahoo.co.jp,https://news.yahoo.co.jp,182.22.25.252,148,161,2328
https://www.infoseek.co.jp,https://www.infoseek.co.jp,133.237.63.102,203,162,2360
https://www.tiktok.com,https://www.tiktok.com,23.46.153.80,169,1,123200
https://finance.yahoo.com,https://finance.yahoo.com,69.147.92.12,1844,0,116800
https://myactivity.google.com,https://myactivity.google.com,142.250.31.138,221,1,140800
https://www.flashscore.pl,https://www.flashscore.pl,188.92.44.102,138,106,3464
https://zh.m.wikipedia.org,https://zh.m.wikipedia.org,208.80.154.224,210,1,270400
https://www.aajtak.in,https://www.aajtak.in,23.199.63.83,624,0,256800
https://jav.guru,https://jav.guru,172.67.75.11,145,1,53680
https://wapbold.net,https://wapbold.net/recent-searches,141.94.196.177,653,81,15760
https://9animetv.to,https://9animetv.to,172.67.180.216,100,0,31120
https://satta-king-fixed-no.in,https://satta-king-fixed-no.in,104.21.25.60,166,1,7104
https://store.steampowered.com,https://store.steampowered.com,23.56.8.80,783,0,58160
https://bebesong.com,https://bebesong.com,176.9.86.43,153,100,6064
https://myaccount.google.com,https://myaccount.google.com/intro/data-and-personalization,172.253.115.84,847,1,350400
https://www.mercadolibre.com.ar,https://www.mercadolibre.com.ar,15.197.170.90,271,1,492800
https://cursos.alura.com.br,https://cursos.alura.com.br/assets/external-libs/highlightjs/highlight.min.9b99da81.js,172.67.68.147,117,1,453600
https://librefutbol.su,https://librefutbol.su/wp-content/cache/autoptimize/js/autoptimize_0a55a93beb9d54462160cf75362f624a.js,104.21.27.155,125,0,242400
https://kakuyomu.jp,https://kakuyomu.jp,13.32.151.120,242,0,1712
https://www.icc-cricket.com,https://www.icc-cricket.com,23.199.63.91,439,0,474400
https://www.kicktipp.de,https://www.kicktipp.de/assets/tipper3.365b2e76.png,178.63.143.193,140,102,3640
https://zbporn.tv,https://zbporn.tv,172.67.179.12,268,1,111200
https://www.pussyspace.com,https://www.pussyspace.com/tags/letter/bestlist/,172.67.12.66,144,1,13120
https://rus2.trahkino.pro,https://rus2.trahkino.pro,104.21.37.71,232,1,17040
https://spboss.in,https://spboss.in,104.18.3.12,129,0,156000
https://www.hibiny.ru,https://www.hibiny.ru/images/news/2024/360921/240/6ebce6ff440c4f1c9ae15eb09741eacf.png,172.67.70.236,152,0,78320
https://search.yahoo.co.jp,https://search.yahoo.co.jp,182.22.16.251,179,161,2952
