alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
12, 9, [9], [12], [33.0522], 1
3, 7, [7], [3], [33.096275], 1
11, 3, [3], [11], [33.03118], 1
8, 15, [15 10], [8 8], [32.947823 33.096043], 2
0, 15, [15  5 13], [5 0 0], [-12.590925  28.893578  33.101696], 3
5, 9, [9], [5], [33.04745], 1
9, 7, [7], [9], [33.07278], 1
3, 11, [11], [3], [33.079056], 1
1, 4, [4], [1], [33.055305], 1

4, 2, [2], [4], [33.060486], 1
2, 11, [11], [2], [33.057213], 1
11, 12, [12], [11], [33.051067], 1
2, 1, [ 1 11], [2 2], [32.86743  33.057117], 2
9, 13, [13], [9], [33.096348], 1
11, 11, [11], [11], [33.065285], 1
8, 4, [4 8], [8 8], [32.915615 33.091972], 2
12, 8, [8], [12], [33.093872], 1
12, 5, [5], [12], [33.032825], 1
2, 12, [12  7], [0 2], [-10.10453  33.07751], 2
6, 14, [14], [6], [33.074116], 1
0, 6, [6], [0], [33.129932], 1
11, 1, [1], [11], [33.03945], 1
12, 16, [16], [12], [33.12654], 1
12, 4, [4], [12], [33.05935], 1
7, 9, [ 9 13  2  4 10  8], [6 0 7 5 5 7], [-32.539074   -4.3123674  -0.6822324  -9.57343     3.9449291  33.09285  ], 6
3, 8, [8], [3], [33.13956], 1
6, 13, [13], [6], [33.17146], 1
6, 12, [12 13], [6 6], [32.950752 33.168793], 2
9, 2, [2], [9], [33.060814], 1
8, 7, [ 7  4 13 14], [4 8 8 8], [-15.500793  24.02826   24.94638   33.064884], 4
0, 16, [16  8], [3 0], [-9.964848 33.101707], 2
2, 16, [16], [2], [33.14439], 1
2, 5, [5 4 8], [7 6 2], [-20.411058  15.928087  33.11811 ], 3
9, 15, [15], [9], [33.078564], 1
0, 15, [15 16  6], [5 0 0], [-12.513273  29.031033  33.129715], 3
6, 14, [14], [6], [33.073586], 1
12, 11, [11], [12], [33.0617], 1
1, 8, [8], [1], [33.11653], 1
5, 7, [7 6], [5 5], [32.966022 33.1257  ], 2
12, 10, [10], [12], [33.08586], 1
10, 11, [11], [10], [33.055832], 1

6, 7, [7], [6], [33.073498], 1
12, 7, [7], [12], [33.069836], 1
0, 8, [8], [0], [33.101696], 1
5, 7, [ 7  5  7 16], [5 6 5 5], [19.700348 11.01938  24.974316 33.14266 ], 4
0, 7, [7], [0], [33.082237], 1
4, 4, [ 4  1 16], [8 4 4], [-12.575848  28.940006  33.171947], 3
0, 2, [2], [0], [33.121445], 1
9, 6, [6], [9], [33.10881], 1
12, 14, [14], [12], [33.053223], 1
3, 11, [11], [3], [33.079067], 1
5, 1, [ 1 12 16], [7 2 5], [-20.40296   15.937473  33.14242 ], 3
3, 13, [13], [3], [33.099083], 1
6, 7, [7], [6], [33.0723], 1
1, 11, [11], [1], [33.101044], 1
3, 6, [6], [3], [33.11809], 1
1, 3, [3], [1], [33.023304], 1
12, 3, [3], [12], [33.033737], 1
8, 4, [ 4  9  8 16  2], [8 8 8 4 8], [22.049383 14.981722  9.888426  7.989829 33.05934 ], 5
3, 3, [ 3 10], [0 3], [-10.125948  33.07815 ], 2
3, 8, [8], [3], [33.139446], 1
10, 10, [10], [10], [33.08122], 1
0, 9, [ 9 10 12  8], [5 7 7 0], [-28.011614    3.234947   11.9104805  33.10182  ], 4
10, 8, [8], [10], [33.086227], 1
4, 3, [ 3  4 15 10 15 14], [4 8 8 4 8 4], [ 8.5654745 -7.434023  -5.8289104  3.4635296  3.9303493 33.062294 ], 6
4, 5, [5 6], [8 4], [-10.079706  33.147987], 2
3, 10, [10], [3], [33.07967], 1
0, 1, [ 1 16  6], [7 0 0], [-12.545313  29.033573  33.12967 ], 3
12, 7, [7], [12], [33.069836], 1
4, 10, [10  7], [4 4], [32.954918 33.082626], 2
4, 3, [3 7], [8 4], [-10.123703  33.082623], 2
6, 13, [13], [6], [33.168644], 1
11, 12, [12], [11], [33.051083], 1

5, 9, [9], [5], [33.048386], 1
3, 5, [ 5  3 14], [7 3 3], [-12.648645  28.86463   33.0657  ], 3
6, 5, [ 5 10 16], [5 6 6], [-12.587833  28.96933   33.13906 ], 3
6, 9, [9 6], [6 6], [32.925156 33.12804 ], 2
3, 14, [14], [3], [33.065628], 1
9, 3, [ 3 16], [11  9], [-10.093948  33.12375 ], 2
8, 4, [ 4 11], [4 8], [-10.102617  33.06353 ], 2
3, 15, [15 12  2], [3 3 3], [30.395416 28.87907  33.05848 ], 3
5, 11, [11  2], [6 5], [-10.084208  33.056793], 2
1, 13, [13], [1], [33.11187], 1
6, 11, [11], [6], [33.077675], 1
10, 1, [1], [10], [33.03923], 1
12, 5, [5], [12], [33.032825], 1
8, 5, [ 5 14 16], [4 8 8], [-12.600714  28.946922  33.138195], 3
9, 11, [11], [9], [33.056145], 1
0, 7, [7], [0], [33.082596], 1
12, 16, [16], [12], [33.126556], 1
12, 7, [7], [12], [33.069836], 1
8, 12, [12 16], [4 8], [-10.066275  33.138195], 2
12, 5, [5], [12], [33.032825], 1
2, 1, [1 6], [6 2], [-10.087368  33.132225], 2
5, 12, [12], [5], [33.04724], 1
6, 16, [16], [6], [33.139378], 1
3, 10, [10], [3], [33.079025], 1
8, 12, [12 16 11], [4 8 8], [-12.563286  28.980202  33.06353 ], 3
4, 14, [14], [4], [33.062447], 1
1, 5, [5], [1], [33.025524], 1
10, 2, [2], [10], [33.060913], 1
4, 7, [7], [4], [33.082584], 1
12, 2, [2], [12], [33.06078], 1
3, 16, [16], [3], [33.17914], 1
11, 8, [8], [11], [33.086292], 1

12, 1, [1], [12], [33.039917], 1
3, 7, [7], [3], [33.096054], 1
12, 4, [4], [12], [33.05933], 1
8, 5, [5], [8], [33.03344], 1
9, 7, [7], [9], [33.072926], 1
8, 6, [6], [8], [33.13354], 1
9, 8, [8], [9], [33.086727], 1
5, 2, [ 2 16  8], [9 9 5], [-20.340961  15.997465  33.116226], 3
6, 12, [12 11], [0 6], [-10.104012  33.077858], 2
12, 12, [12], [12], [33.061554], 1
7, 3, [ 3 14  6  7 11], [0 5 7 7 7], [-25.970612    6.6707172  17.683273   20.918697   33.064247 ], 5
3, 12, [12 14], [3 3], [32.88872  33.065598], 2
7, 8, [ 8  6  9  4 13  6 13], [7 0 7 5 0 0 0], [  4.588438 -14.173801 -17.174076 -37.039165 -41.82879  -43.210526
 -38.902473], 7
11, 16, [16], [11], [33.12255], 1
8, 9, [ 9 13], [8 8], [32.91387 33.10822], 2
5, 1, [ 1 15 10 11  8  5 11], [5 5 5 7 5 0 7], [ 13.985014    1.5857348 -12.480337  -29.273624  -28.894436  -43.327827
 -38.936962 ], 7
12, 3, [3], [12], [33.033665], 1
4, 7, [7], [4], [33.08261], 1
8, 5, [ 5 11], [4 8], [-10.131105  33.06353 ], 2
5, 10, [10 14], [6 5], [-10.077633  33.06318 ], 2
0, 8, [8], [0], [33.101814], 1
12, 1, [1], [12], [33.039917], 1
2, 1, [ 1 16], [2 2], [32.92041  33.145153], 2
12, 4, [4], [12], [33.05935], 1
4, 8, [8], [4], [33.108906], 1
0, 13, [13], [0], [33.09887], 1
12, 9, [9], [12], [33.052258], 1
3, 2, [2], [3], [33.05803], 1
7, 7, [ 7 15  9  6], [7 5 5 7], [15.01786    3.2307782 11.926922  33.13212  ], 4
8, 2, [2], [8], [33.05922], 1
2, 2, [2], [2], [33.062763], 1
9, 15, [15  3], [11  9], [-10.08633   33.032475], 2

3, 4, [ 4 16], [6 3], [-10.034765  33.17946 ], 2
1, 4, [4], [1], [33.055317], 1
4, 5, [ 5 16], [8 4], [-10.0648575  33.171947 ], 2
0, 4, [ 4 10  1  6], [5 7 7 0], [-28.001404    3.2360556  11.912328   33.129715 ], 4
8, 7, [7 8], [4 8], [-10.064041  33.089497], 2
2, 1, [1 9 6], [7 6 2], [-20.408907  15.92762   33.13227 ], 3
7, 2, [ 2  7 10  8  2], [7 7 0 0 7], [17.377258   7.1896467 -3.1495776  7.9402313 33.069283 ], 5
12, 8, [8], [12], [33.093864], 1
7, 15, [15  8  1 10 15 11], [5 0 7 0 7 7], [-30.83156    -1.5084777   3.989523   -1.7454824  16.944935   33.06211  ], 6
0, 5, [5 6], [5 0], [-10.090998  33.129997], 2
7, 4, [ 4 16 10  1 14 10 15], [2 0 0 7 0 0 7], [-39.702465 -16.2616   -20.67686  -21.284487 -37.20199  -35.44161
 -25.892395], 7
7, 8, [ 8 14], [0 7], [-10.067442  33.058304], 2
1, 13, [13], [1], [33.11187], 1
7, 14, [14 13  4  6 15  6 13], [5 0 7 0 7 0 0], [-36.75512  -11.36034  -12.429777 -29.159626 -28.817642 -43.210526
 -38.902473], 7
12, 3, [3], [12], [33.03373], 1
9, 11, [11], [9], [33.055298], 1
7, 8, [ 8 14 13  5  9 12 13], [7 5 0 7 7 7 0], [  5.369312 -12.871956 -14.887999 -11.641618 -21.126415 -30.293007
 -38.90303 ], 7
12, 5, [5], [12], [33.032825], 1
4, 6, [6], [4], [33.143932], 1
12, 1, [1], [12], [33.03992], 1
7, 1, [ 1 16], [2 7], [-10.088108  33.12917 ], 2
1, 15, [15], [1], [33.064026], 1
6, 11, [11], [6], [33.077667], 1
12, 14, [14], [12], [33.053223], 1
6, 9, [9 2], [0 6], [-10.0954685  33.094162 ], 2
1, 15, [15], [1], [33.063248], 1
10, 4, [4], [10], [33.070137], 1
1, 7, [7], [1], [33.078777], 1
3, 4, [ 4 10], [2 3], [-10.095083  33.078865], 2
8, 8, [ 8 13], [4 8], [-10.028952  33.107994], 2
1, 14, [14], [1], [33.076817], 1
7, 6, [ 6 10 11  4  1 13  7], [0 5 0 7 7 0 0], [-38.58313  -14.519703 -17.681873 -16.285894 -28.917603 -43.257256
 -38.922455], 7

5, 3, [ 3 11  1 13], [7 5 7 5], [-20.245035  16.213604  11.903976  33.115887], 4
8, 16, [16], [8], [33.13521], 1
3, 15, [15 13], [3 3], [32.926403 33.098892], 2
4, 13, [13], [4], [33.104866], 1
9, 16, [16], [9], [33.123924], 1
8, 13, [13 12  7 10], [8 4 4 8], [15.036081   3.2143884 11.939877  33.096043 ], 4
4, 8, [8], [4], [33.108036], 1
3, 8, [8], [3], [33.13826], 1
10, 3, [3], [10], [33.02893], 1
9, 6, [6], [9], [33.109604], 1
10, 12, [12], [10], [33.07624], 1
4, 10, [10  1  9  4  8], [4 4 8 8 4], [17.377617   7.120493  -3.1941957  7.9281044 33.107967 ], 5
4, 14, [14], [4], [33.062294], 1
10, 4, [4], [10], [33.069828], 1
9, 9, [9], [9], [33.0636], 1
7, 9, [ 9 16  8], [6 0 7], [-20.3522    15.99927   33.091255], 3
3, 13, [13], [3], [33.098896], 1
11, 12, [12], [11], [33.05123], 1
8, 13, [13], [8], [33.107643], 1
10, 6, [ 6 14], [ 9 10], [-10.047459  33.065315], 2
4, 12, [12 10  4 14], [4 4 8 4], [22.797842 16.245092 11.898586 33.062386], 4
10, 1, [1], [10], [33.039364], 1
10, 7, [7], [10], [33.073845], 1
5, 9, [ 9 15 12], [6 5 5], [-12.612505  28.898952  33.04341 ], 3
10, 12, [12], [10], [33.076485], 1
5, 11, [11], [5], [33.0785], 1
7, 15, [15  1  4  7  4  9  7], [5 2 5 5 5 7 5], [-42.163326 -20.391224 -27.375927 -32.38709  -34.121372 -30.299137
 -38.914265], 7
7, 14, [14  1 13  8], [7 2 0 7], [14.983616   3.2044425 11.952826  33.092896 ], 4
4, 7, [7], [4], [33.082607], 1
8, 13, [13], [8], [33.10832], 1
1, 11, [11], [1], [33.101067], 1
5, 4, [4 8], [6 5], [-10.073074  33.115803], 2

11, 13, [13], [11], [33.09633], 1
1, 14, [14], [1], [33.076813], 1
12, 14, [14], [12], [33.053223], 1
7, 16, [16 15  3 13 16], [7 5 0 0 7], [ 9.623668  -5.836223  -3.1847467  7.973771  33.126842 ], 5
1, 9, [9], [1], [33.046154], 1
6, 14, [14], [6], [33.071243], 1
0, 7, [7], [0], [33.080696], 1
9, 14, [14], [9], [33.065845], 1
12, 6, [6], [12], [33.120422], 1
12, 7, [7], [12], [33.069836], 1
4, 9, [ 9  5 14], [8 8 4], [-20.429604  15.868834  33.06222 ], 3
3, 15, [15  5 16], [6 7 3], [-20.357788   15.9402685  33.17949  ], 3
3, 13, [13], [3], [33.09909], 1
12, 11, [11], [12], [33.0617], 1
10, 7, [7], [10], [33.073845], 1
7, 2, [ 2 11 10  6  8 15 16], [7 0 7 0 0 7 7], [  8.952518   -6.874886   -4.9409175 -16.737204   -8.113864   12.983921
  33.126682 ], 7
5, 3, [3 8], [5 5], [32.89273 33.11391], 2
9, 14, [14], [9], [33.06629], 1
7, 10, [10  9  2  6 15 13 15], [6 6 7 0 7 0 7], [-36.15192  -10.393888 -10.737028 -26.36325  -24.154934 -35.437664
 -25.892334], 7
8, 10, [10], [8], [33.09065], 1
8, 13, [13], [8], [33.108135], 1
0, 16, [16], [0], [33.16279], 1
9, 1, [ 1 16], [11  9], [-10.085548  33.12377 ], 2
11, 2, [2], [11], [33.061806], 1
7, 14, [14 13  2  7 14 10  7], [5 0 7 7 5 5 7], [-35.04871   -8.515923  -7.688156 -21.24997  -37.216866 -35.462692
 -25.91985 ], 7
2, 11, [11], [2], [33.057198], 1
9, 10, [10], [9], [33.090157], 1
1, 11, [11], [1], [33.10109], 1
12, 1, [1], [12], [33.03992], 1
0, 9, [ 9 13], [6 0], [-10.09194  33.0996 ], 2
4, 15, [15 16], [8 4], [-10.007843  33.17172 ], 2
1, 9, [9], [1], [33.046124], 1

10, 16, [16  4], [10 10], [32.965816 33.069847], 2
11, 10, [10], [11], [33.08982], 1
12, 15, [15], [12], [33.090508], 1
12, 13, [13], [12], [33.09595], 1
10, 14, [14], [10], [33.065327], 1
8, 14, [14], [8], [33.06471], 1
10, 9, [9], [10], [33.055714], 1
2, 9, [ 9 16], [5 2], [-10.065317  33.145153], 2
1, 3, [3], [1], [33.023304], 1
5, 12, [12  2 16 14], [9 5 9 5], [-20.202042  16.238512  11.969328  33.06367 ], 4
2, 7, [7], [2], [33.0775], 1
12, 3, [3], [12], [33.033722], 1
12, 11, [11], [12], [33.0617], 1
