alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
3, 10, [10], [3], [33.07844], 1

0, 9, [9 1 6], [6 6 0], [-20.40558   15.911769  33.12986 ], 3
1, 10, [10], [1], [33.11121], 1
7, 12, [12 11], [6 7], [-10.112442  33.06272 ], 2
10, 6, [6], [10], [33.123352], 1
1, 4, [4], [1], [33.055225], 1
10, 14, [14], [10], [33.065296], 1
4, 6, [6], [4], [33.148376], 1
5, 4, [ 4 13], [5 5], [32.92483  33.114883], 2
11, 15, [15], [11], [33.10406], 1
1, 9, [9], [1], [33.045986], 1
11, 4, [4], [11], [33.079033], 1
0, 6, [6], [0], [33.129856], 1
4, 4, [ 4 16], [8 4], [-10.032335  33.166294], 2
0, 13, [13], [0], [33.098175], 1
12, 16, [16 14], [12 12], [32.96712  33.053032], 2
10, 5, [5], [10], [33.03155], 1
3, 11, [11], [3], [33.079056], 1
9, 12, [12], [9], [33.057903], 1
11, 15, [15], [11], [33.097786], 1
4, 11, [11], [4], [33.08973], 1
12, 5, [5], [12], [33.03275], 1
1, 10, [10], [1], [33.111206], 1
3, 15, [15], [3], [33.063946], 1
5, 7, [7], [5], [33.092785], 1
7, 15, [15  7], [5 7], [-10.085804  33.07629 ], 2
0, 15, [15  6], [0 0], [32.95954  33.129974], 2
11, 6, [6], [11], [33.11693], 1
0, 8, [8], [0], [33.10012], 1
9, 13, [13], [9], [33.096817], 1
8, 9, [9], [8], [33.051086], 1
11, 10, [10], [11], [33.089916], 1
8, 14, [14], [8], [33.066013], 1

11, 5, [5], [11], [33.03243], 1
1, 7, [7], [1], [33.07874], 1
12, 6, [6], [12], [33.120396], 1
7, 11, [11 15  8  7], [7 5 7 7], [19.688354 11.040522 24.941784 33.075962], 4
1, 11, [11], [1], [33.100945], 1
1, 16, [16], [1], [33.173958], 1
0, 11, [11], [0], [33.090454], 1
11, 15, [15], [11], [33.10388], 1
4, 8, [8], [4], [33.107494], 1
11, 16, [16], [11], [33.12242], 1
5, 6, [6], [5], [33.123524], 1
4, 8, [8], [4], [33.106705], 1
9, 3, [3], [9], [33.032314], 1
10, 15, [15 16], [ 9 10], [-10.0528145  33.122112 ], 2
7, 16, [16], [7], [33.12565], 1
9, 10, [10], [9], [33.08967], 1
10, 14, [14], [10], [33.065277], 1
12, 9, [9], [12], [33.053535], 1
7, 14, [14  8], [5 7], [-10.083902  33.091267], 2
8, 8, [8], [8], [33.0885], 1
1, 1, [1], [1], [33.03305], 1
11, 11, [11], [11], [33.065277], 1
1, 3, [3], [1], [33.023323], 1
10, 2, [2], [10], [33.060867], 1
10, 4, [4], [10], [33.071262], 1
9, 14, [14], [9], [33.06645], 1
6, 3, [ 3 14], [3 6], [-10.131882  33.0751  ], 2
4, 11, [11], [4], [33.08552], 1
2, 8, [8], [2], [33.118275], 1
11, 1, [1], [11], [33.039207], 1
9, 16, [16], [9], [33.12429], 1
4, 14, [14], [4], [33.062187], 1

8, 12, [12  6], [8 8], [32.931202 33.13011 ], 2
