alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
6, 14, [14 13], [6 6], [33.033504 33.15168 ], 2
14, 11, [11  8  6  4 16 11  4], [12 12 12 12 12 12 12], [-42.965378 -21.80154  -29.990005 -37.04023  -41.82361  -43.25209
 -38.946064], 7
1, 7, [7], [1], [33.14325], 1
7, 12, [12 13], [0 7], [-10.055546  33.168144], 2
11, 3, [ 3 16], [11 11], [32.945557 33.186516], 2
4, 1, [ 1 14  6 16], [8 4 4 4], [-15.463975  24.155865  25.007599  33.124573], 4
10, 2, [2], [10], [33.12124], 1
10, 3, [3], [10], [33.033722], 1
13, 6, [6], [13], [33.227512], 1
13, 10, [10], [13], [33.070473], 1
3, 7, [7], [3], [33.143307], 1
12, 7, [7], [12], [33.15666], 1
12, 3, [ 3 11], [12 12], [32.907696 33.120316], 2
12, 4, [ 4 11], [12 12], [32.918537 33.120224], 2
2, 15, [15 14], [6 2], [-10.04484   33.137455], 2
1, 10, [10], [1], [33.07585], 1
11, 3, [3 7], [11 11], [32.91227  33.130768], 2
10, 8, [8], [10], [33.135155], 1
10, 16, [16  7], [ 1 10], [-9.97616  33.127834], 2
11, 10, [10], [11], [33.11766], 1
5, 1, [ 1 15], [6 5], [-10.103689  33.073093], 2
4, 1, [1 7], [8 4], [-10.069658  33.14619 ], 2
2, 1, [1], [2], [33.052593], 1
10, 7, [7], [10], [33.12796], 1

5, 5, [5 3], [6 5], [-10.12533   33.053406], 2
4, 2, [2], [4], [33.146236], 1
0, 13, [13], [0], [33.153313], 1
4, 12, [12  7], [8 4], [-10.067965  33.14619 ], 2
4, 2, [2], [4], [33.14661], 1
9, 3, [3], [9], [33.03454], 1
9, 15, [15], [9], [33.05137], 1
2, 5, [5 8], [6 2], [-10.068035  33.14965 ], 2
13, 13, [13], [13], [33.189354], 1
5, 12, [12  2], [6 5], [-10.071741  33.14161 ], 2
6, 12, [12 14 11], [6 6 6], [30.453854 29.017097 33.12374 ], 3
6, 10, [10 14  8], [6 2 6], [22.687252 16.015762 33.126717], 3
13, 8, [8], [13], [33.18213], 1
1, 13, [13], [1], [33.153282], 1
13, 16, [16], [13], [33.124073], 1
13, 13, [13], [13], [33.189278], 1
12, 11, [11], [12], [33.120316], 1
5, 11, [11  2], [7 5], [-9.985184 33.14037 ], 2
11, 11, [11], [11], [33.135025], 1
3, 10, [10  8], [6 3], [-10.010633  33.186584], 2
11, 8, [8], [11], [33.164463], 1
10, 16, [16  8], [10 10], [33.023903 33.134197], 2
4, 8, [ 8 14], [8 4], [-9.959429 33.14881 ], 2
5, 7, [7], [5], [33.145695], 1
2, 1, [ 1  3 14], [6 6 2], [-20.388666  15.928782  33.137505], 3
14, 14, [14  5  7  9], [12 14 12 14], [-20.060177   16.295162   12.0288925  33.105152 ], 4
2, 7, [7], [2], [33.143337], 1
7, 10, [10  9 11 12  2 14], [6 2 6 0 5 7], [-37.184143  -12.103143  -13.595579   -9.529665    4.0446386  33.185528 ], 6
14, 3, [ 3  7 13  6  8 15  9], [ 7 12 12 12 12 12 14], [-39.648605  -16.16889   -20.555244  -21.252407  -15.829422   -0.0630188
  33.110348 ], 7
12, 4, [ 4  3  9 16], [12 12 12 12], [27.44305  23.991169 24.925896 33.1262  ], 4
10, 11, [11], [10], [33.126106], 1
0, 7, [7], [0], [33.143555], 1

8, 13, [13], [8], [33.165585], 1
10, 7, [7], [10], [33.12794], 1
1, 15, [15], [1], [33.064392], 1
14, 9, [ 9 16], [ 5 14], [-10.0639515  33.138    ], 2
7, 4, [ 4 14  2 10  8 10  6], [7 7 5 6 7 5 5], [  9.411357   -6.0522537 -25.3716    -29.172325  -28.750113  -43.231384
 -38.847996 ], 7
8, 9, [ 9 13], [4 8], [-10.04845   33.165337], 2
9, 2, [2], [9], [33.125397], 1
12, 10, [10], [12], [33.08012], 1
7, 16, [16], [7], [33.156036], 1
12, 3, [3 6], [12 12], [32.983845 33.247215], 2
13, 3, [3], [13], [33.035416], 1
12, 5, [5 2], [12 12], [32.927788 33.146774], 2
6, 16, [16], [6], [33.10757], 1
9, 6, [6], [9], [33.228832], 1
6, 16, [16], [6], [33.108067], 1
6, 9, [ 9 11], [5 6], [-10.073641  33.123756], 2
3, 14, [14], [3], [33.157646], 1
4, 3, [3 7], [8 4], [-10.072645  33.147217], 2
10, 7, [7], [10], [33.128113], 1
3, 3, [ 3  5 13], [6 5 3], [-20.393196  15.934462  33.15345 ], 3
1, 8, [8], [1], [33.149784], 1
0, 2, [2], [0], [33.143295], 1
9, 10, [10], [9], [33.089005], 1
6, 2, [2 8], [6 6], [33.02231  33.126797], 2
10, 15, [15], [10], [33.04904], 1
8, 4, [4 8 7], [4 8 8], [-12.530174  29.044916  33.155922], 3
5, 1, [ 1 12 13], [6 5 5], [-12.586006  28.937098  33.155987], 3
4, 3, [3 8], [8 4], [-10.071705  33.150787], 2
14, 7, [7 6 9], [12 12 14], [-20.178675  16.09254   33.107376], 3
8, 3, [ 3  9  1 13], [8 8 8 8], [27.448275 24.016823 24.94212  33.165245], 4
8, 10, [10 16  1], [8 8 8], [30.48076  28.980053 33.04119 ], 3
13, 4, [4], [13], [33.04564], 1

9, 12, [12  6], [11  9], [-10.019571  33.231297], 2
8, 7, [7], [8], [33.15709], 1
14, 4, [ 4 14  2], [12 12 14], [-20.266481  16.139233  33.29418 ], 3
9, 6, [6], [9], [33.224083], 1
2, 11, [11], [2], [33.10847], 1
7, 2, [ 2 16], [7 7], [33.02854  33.162285], 2
3, 12, [12  8], [6 3], [-10.044489  33.18651 ], 2
